index,KIC,ifsplitting,ifmodelling,ifsupressed,comments,stage,names,_RA,_DE,Dnu_guess,numax_guess,Dnu,e_Dnu,numax,e_numax,DPi1_V16,e_DPi1_V16,Teff,e_Teff,Teff_spec,e_Teff_spec,[M/H],e_[M/H],logg,e_logg,Teff_phot,e_Teff_phot,lum_J,e_lum_J,lum_K,e_lum_K,mass_dyn,e_mass_dyn,radius_dyn,e_radius_dyn,Teff_B21,e_Teff_B21,[Fe/H]_B21,e_[Fe/H]_B21,logg_B21,e_logg_B21,References,Teff_B11,e_Teff_B11,[Fe/H]_B11,e_[Fe/H]_B11,logg_B11,e_logg_B11,[M/H]_B15,e_[M/H]_B15,Inst,Teff_F18,e_Teff_F18,[Fe/H]_F18,e_[Fe/H]_F18,logg_F18,e_logg_F18,Teff_L17,e_Teff_L17,[Fe/H]_L17,e_[Fe/H]_L17,logg_L17,e_logg_L17,vsini_L17,e_vsini_L17,Teff_keck,e_Teff_keck,[Fe/H]_keck,e_[Fe/H]_keck,logg_keck,e_logg_keck,vsini_keck,e_vsini_keck,Teff_X19,e_Teff_X19,[Fe/H]_X19,e_[Fe/H]_X19,[a/Fe]_X19,e_[a/Fe]_X19,Teff_B20,e_Teff_B20,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,j_m_stdap,j_msig_stdap,h_m_stdap,h_msig_stdap,k_m_stdap,k_msig_stdap,source_id,ra_1,ra_error,dec_1,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_params_solved,nu_eff_used_in_astrometry,pseudocolour,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux_over_error,phot_rp_mean_mag,l,b,ecl_lon,ecl_lat,RA_2,DEC_2,Teff_apo,e_Teff_apo,logg_apo,e_logg_apo,vsini_apo,[M/H]_apo,e_[M/H]_apo,[a/M]_apo,e_[a/M]_apo,C_FE,CI_FE,N_FE,O_FE,NA_FE,MG_FE,AL_FE,SI_FE,P_FE,S_FE,K_FE,CA_FE,TI_FE,TIII_FE,V_FE,CR_FE,MN_FE,FE_H,CO_FE,NI_FE,CU_FE,GE_FE,RB_FE,CE_FE,ND_FE,YB_FE,C_FE_ERR,CI_FE_ERR,N_FE_ERR,O_FE_ERR,NA_FE_ERR,MG_FE_ERR,AL_FE_ERR,SI_FE_ERR,P_FE_ERR,S_FE_ERR,K_FE_ERR,CA_FE_ERR,TI_FE_ERR,TIII_FE_ERR,V_FE_ERR,CR_FE_ERR,MN_FE_ERR,FE_H_ERR,CO_FE_ERR,NI_FE_ERR,CU_FE_ERR,GE_FE_ERR,RB_FE_ERR,CE_FE_ERR,ND_FE_ERR,YB_FE_ERR,numax_Y18,e_numax_Y18,Dnu_Y18,e_Dnu_Y18,A,Width,e_Width,Gran,e_Gran,RGBcorM,e_RGBcorM,RGBcorR,e_RGBcorR,ClcorM,e_ClcorM,ClcorR,e_ClcorR,Phase,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,ebv,fDnu_o,e_fDnu_o,fDnu,e_fDnu,radius_sc,e_radius_sc,mass_sc,e_mass_sc,radius_scf,e_radius_scf,mass_scf,e_mass_scf
1338,4663623,,1,,,rgb,binary,294.19873,39.758,5.21,54.09,5.21,0.01766925159669163,54.09,2.7045000000000003,,,4775.0,58.0,4812.0,92.0,-0.13,0.06,2.6,0.2,4775.0,58.0,77.7376015624373,7.87917062063638,76.5581950621777,7.75963072154172,1.41,0.08,9.8,0.2,4812.0,92.0,-0.13,0.06,2.6,0.2,B21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4802.0,96.0,11.11,0.026,10.593,0.027,10.453,0.02,11.135,0.015,10.582,0.007,10.454,0.007,2.0524444441848e+18,294.1987261207,0.01017776,39.7579692732292,0.011281909,0.323340650276177,0.012273652,-1.05545124581424,0.012687286,-3.02117664310514,0.0154090095,95.0,,1.4523273,1.0645576,6206.6533,12.816891,1693.279,13.387821,3556.0193,12.102222,73.1826509728922,9.03863462030458,309.013684079514,59.9620396357212,294.198733,39.758003,4755.4824,94.65179,2.5742667,0.037101552,-9999.99,0.08238445,0.0077674016,-0.0405314,0.0075086234,0.014171995,-0.056024,0.20954701,-0.051916003,0.0029170513,-0.023594301,-0.04968051,-0.050608,-0.40457198,-0.030858763,-0.13107902,0.0320433,0.05377259,-0.031668,0.015093997,0.113328986,-0.0016650036,0.073367454,-0.076808006,0.06430311,0.026869498,-9999.99,-9999.99,-0.0364744,-9999.99,-9999.99,0.011749233,0.020286217,0.017964106,0.015447919,0.04368792,0.012191884,0.02368045,0.011735738,0.069126375,0.033779915,0.036203697,0.0129097,0.019260766,0.07425262,0.056535937,0.036902923,0.015956752,0.008606787,0.043049105,0.013991907,0.037466604,-999.99,-999.99,0.073850594,-999.99,-999.99,,,,,,,,,,,,,,,,,,,2963.75952,2857.71216,3055.89941,2941.4978,2834.40063,3037.9729,0.13,,,,,,,,,,,,
1339,5640750,,1,,,rgb,binary,297.2018,40.89244,2.96,24.1,2.96,0.010038576722880464,24.1,1.205,,,4777.0,56.0,4525.0,75.0,-0.29,0.09,2.266,0.2,4777.0,56.0,138.776853950681,17.1676634415377,124.51640349971,15.4035463939355,1.16,0.01,13.12,0.09,4525.0,75.0,-0.29,0.09,2.266,0.2,T18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4694.9707,21.211447,-0.22760612,0.021838212,0.08159123,0.012488443,4603.0,92.0,9.668,0.021,9.058,0.022,8.926,0.02,9.686,0.021,9.062,0.018,8.921,0.009,2.07676756123173e+18,297.201771479667,0.019259641,40.8924083510661,0.022670088,0.472788105902394,0.022951296,-2.52635614931632,0.025612736,-9.36120301551805,0.02972034,31.0,1.4343752,,1.995565,5979.227,11.50193,1267.766,12.137563,3653.3926,10.734732,75.3000705146196,7.57644670412529,314.110900271462,60.2340255866773,297.201797,40.892441,4597.899,80.52924,2.3785589,0.060888175,-9999.99,-0.19714154,0.0067368867,0.025947,0.0070307036,0.01015681,0.0016539991,0.20712,0.060212,0.0021060556,0.015001401,0.018925503,0.0317,0.136707,0.082164004,0.03806001,0.038953304,0.05123861,0.218425,0.04901299,0.048007995,-0.031076,-0.21211155,0.02442199,0.025302097,0.060127497,-9999.99,-9999.99,0.1000766,-9999.99,-9999.99,0.010077128,0.017535456,0.016134541,0.011812351,0.039313402,0.010650209,0.017225143,0.009863741,0.055534285,0.03080254,0.030945217,0.011739231,0.015995285,0.055764057,0.04417097,0.03163831,0.014475031,0.007618467,0.034356967,0.012379048,0.032493666,-999.99,-999.99,0.056639444,-999.99,-999.99,,,,,,,,,,,,,,,,,,,1994.87708,1915.8728,2102.71826,2016.05115,1903.0752,2104.18262,0.25,0.9871120163440484,0.011499540808757702,0.9572377524573246,0.010715182067599194,14.011248139095073,0.7164511544012828,1.3550968013049667,0.20685604693422002,13.17599993065847,0.6737415729846014,1.198350437868092,0.18292865438142084
1340,5786154,,1,,,rgb,binary,290.2559,41.01804,3.523,29.75,3.523,0.01194794114686077,29.75,1.4875,,,4605.0,49.0,4747.0,100.0,-0.06,0.06,2.6,0.2,4605.0,49.0,84.9074738773398,10.5836780719147,90.2738971754344,11.2526002997354,1.06,0.06,11.4,0.2,4747.0,100.0,-0.06,0.06,2.6,0.2,G16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4600.683,22.308884,-0.16776387,0.023763517,0.010647312,0.013302537,4610.0,92.0,11.816,0.022,11.199,0.021,11.077,0.02,11.81,0.009,11.204,0.011,11.077,0.011,2.10139913425327e+18,290.255857565064,0.009035034,41.0180040211195,0.009940369,0.19698815462648,0.010485009,-3.47632569126875,0.011885526,-6.90965481914928,0.012197876,31.0,1.4475908,,1.0070674,6746.6797,13.517907,1339.986,14.114935,2726.3801,12.786148,72.95660518499,12.2874505195378,303.924735369616,62.0923518905149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4425.62158,4210.72266,4650.99219,4261.80371,4084.19189,4442.25977,0.08,0.9714548755371908,0.006717172240795932,0.9534996969393332,0.005725820555666117,12.11204843649277,0.6243229466740935,1.2803305860780239,0.19703167699475294,11.668457617777806,0.6014577865395545,1.188266432711672,0.18286380915958667
1341,7037405,,1,,,rgb,binary,292.97623,42.54768,2.792,21.75,2.792,0.009468819665635897,21.75,1.0875000000000001,,,4570.0,46.0,4500.0,80.0,-0.34,0.01,2.5,0.2,4570.0,46.0,68.5287657554971,4.55730209424253,67.5985477404556,4.49544070711091,1.25,0.04,14.1,0.2,4500.0,80.0,-0.34,0.01,2.5,0.2,"G16, B18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4551.1445,31.463737,-0.21840596,0.034508873,0.08828406,0.021076677,4541.0,91.0,10.156,0.021,9.554,0.021,9.391,0.019,10.147,0.014,9.533,0.007,9.391,0.008,2.07780000264803e+18,292.976209543658,0.009902798,42.5476867531037,0.011238045,0.501936827684132,0.011847338,0.420082854528574,0.013383067,1.9383939692021,0.01434931,31.0,1.4435205,,1.1839048,8738.549,11.89446,1567.5087,12.501795,3627.4998,11.149874,75.2701251886546,11.1376737279863,309.142893732493,62.8989554275979,292.976217,42.54768,4542.3984,78.78068,2.3254337,0.059279177,-9999.99,-0.14475155,0.0065462496,0.031028003,0.0067542884,0.02910401,0.025217101,0.17454,0.058835,-0.023943946,0.071302705,0.0029443055,0.024499014,-0.072863,0.048502006,0.04461001,0.022125602,0.039545603,0.213975,-0.141447,0.014707997,0.0058039874,-0.16006155,0.03847201,0.020152107,0.059877507,-9999.99,-9999.99,0.051458605,-9999.99,-9999.99,0.009170155,0.016353853,0.014922886,0.0108951265,0.037087746,0.010327568,0.017044438,0.00953543,0.052146193,0.029388703,0.029745217,0.010970315,0.014971738,0.054256037,0.041320164,0.029903123,0.013637338,0.00743425,0.031993285,0.011822584,0.03050573,-999.99,-999.99,0.05447249,-999.99,-999.99,,,,,,,,,,,,,,,,,,,1900.71875,1857.24792,1937.84644,1883.63037,1842.01611,1920.63916,0.089999996,0.9854338234291001,0.006470371965302313,0.9523464805881671,0.00437196904852466,14.125071486013569,0.7236971824521187,1.2394732656258447,0.18958325162413325,13.192457006398469,0.6759147360496489,1.081202969963902,0.1653750672935471
1344,8410637,,1,,,rgb,binary,282.15872,44.48607,4.641,46.0,4.641,0.015739538706381163,46.0,2.3000000000000003,,,4777.0,42.0,4699.0,91.0,0.16,0.03,2.7,0.2,4777.0,42.0,64.3462195458841,4.16959232842185,64.6967192481913,4.19230447655067,1.56,0.03,10.7,0.1,4699.0,91.0,0.16,0.03,2.7,0.2,"F13, G16, T18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4698.0,94.0,9.172,0.032,8.637,0.04,8.492,0.011,9.159,0.025,8.632,0.032,8.487,0.012,2.10541574900716e+18,282.158705266677,0.014850603,44.4860632651264,0.017040262,0.839301635888133,0.017095568,0.284071837058337,0.020282408,-1.75939529421678,0.022694586,31.0,1.4638232,,1.7768937,6875.5654,10.758455,1558.5397,11.308175,4503.819,10.063597,73.9111816799787,19.1043556677558,292.591426487731,66.9742446040705,282.158724,44.486073,4671.9287,80.15128,2.6474266,0.057486743,-9999.99,0.09122945,0.005879047,-0.0357439,0.005986859,0.018442705,-0.011514999,0.261684,-0.016133998,0.04369905,-0.024247296,-0.062698506,-0.036583,-0.032940008,-0.014705829,0.052047,-0.0036896989,0.036674604,0.015619002,-0.13394397,0.031135,0.016700998,0.06551545,0.03708499,0.014750101,0.0914905,-9999.99,-9999.99,0.0019575953,-9999.99,-9999.99,0.008257502,0.014617012,0.013384522,0.010546131,0.03255117,0.009216636,0.01644177,0.008727109,0.049102,0.024618015,0.02555303,0.008987837,0.013305603,0.0528226,0.038360942,0.02587205,0.011248219,0.0066406247,0.029195262,0.010020739,0.026520878,-999.99,-999.99,0.05519831,-999.99,-999.99,,,,,,,,,,,,,,,,,,,1166.875,1145.90344,1189.79504,1164.08118,1140.83521,1185.25134,0.07,0.9747821527520714,0.005592159152998488,0.9599344152804236,0.005197528771994808,10.810694391552223,0.5554388592429862,1.5691269148837288,0.2406851220529051,10.483868779624867,0.538647001247058,1.4756862952887104,0.22635245927170963
1345,8430105,,1,,,rgb,binary,291.55862,44.48819,7.138,76.7,7.138,0.02420789211078404,76.7,3.8350000000000004,,,5007.0,30.0,5042.0,68.0,-0.49,0.04,3.04,0.2,5007.0,30.0,34.8941450980835,1.426374411838,34.1844132145933,1.39734044159749,1.31,0.02,7.65,0.05,5042.0,68.0,-0.49,0.04,3.04,0.2,G16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4917.0,98.0,8.94,0.023,8.46,0.023,8.382,0.014,8.94,0.004,8.473,0.007,8.382,0.003,2.12619078499679e+18,291.55861250457,0.010725183,44.488103942275,0.012440236,1.35828116338248,0.01247724,-1.0730386949175,0.014601834,-16.1054669205447,0.01544526,31.0,1.4902326,,1.0389268,3822.2295,10.399654,1408.7738,10.879839,2264.317,9.756468,76.5883801932643,12.9151366102232,308.462984256227,65.0744543988255,291.558611,44.488194,4972.238,93.39863,2.9622006,0.07117673,-9999.99,-0.41848156,0.008294565,0.027305,0.008944114,0.09696698,0.024073988,0.14774,-0.081595,0.10280603,0.098104686,0.017168492,-0.021388918,-0.78122306,0.08939397,0.106019974,0.018196285,0.00847128,0.17686498,-9999.99,0.020938009,-0.010755986,-0.42705154,0.022901982,0.043992072,0.10178751,-9999.99,-9999.99,0.1586346,-9999.99,-9999.99,0.017281795,0.025244059,0.025818631,0.020173524,0.053182736,0.01278787,0.01941543,0.012240343,0.08025962,0.038641002,0.037590303,0.017063214,0.024147011,0.06538913,-999.99,0.042684805,0.02028674,0.009187356,0.05176408,0.016261535,0.04575912,-999.99,-999.99,0.074117385,-999.99,-999.99,,,,,,,,,,,,,,,,,,,725.739441,720.955627,731.051331,728.14917,721.238159,734.125183,0.06,0.9864500242341924,0.02123082732760806,0.968118395205075,0.021044320029428465,8.08341559458202,0.41149901374527365,1.5152243367937182,0.23026067302169043,7.785771911658971,0.3963469928529619,1.4056929761241528,0.21361576822949055
1346,9153621,,1,,,rgb,binary,291.41193,45.53519,4.28,38.22,4.28,0.014515239315516348,38.22,1.911,,,4674.0,46.0,4760.0,190.0,-0.3,0.2,2.45,0.2,4674.0,46.0,56.4209335351644,5.71139452388765,55.2630289398104,5.59418182372967,1.1,0.2,10.4,0.6,4760.0,190.0,-0.3,0.2,2.45,0.2,B21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4847.53,28.12636,-0.36867684,0.028846066,0.027368924,0.01705859,4783.0,96.0,11.22,0.023,10.684,0.019,10.585,0.011,11.232,0.008,10.7,0.013,10.589,0.009,2.12667993023185e+18,291.411890798257,0.0112411175,45.5351825814145,0.013361681,0.350457687867132,0.013334739,-2.63253275460504,0.014139748,-6.19706719431947,0.016036812,31.0,1.4619604,,1.2036314,6040.53,12.878783,1497.3362,13.432625,3273.897,12.175854,77.5147126713432,13.4570774102991,309.121212851026,66.0908819840765,291.411909,45.535191,4790.9146,93.35344,2.5511363,0.06453593,-9999.99,-0.31224155,0.008424029,0.022229,0.008748972,0.02152139,0.0014939904,0.16435999,0.093774974,0.046846032,0.0307087,-0.0003915131,0.021189988,-0.382723,0.031768978,0.013259977,0.060901284,0.08072159,0.29358497,0.134293,0.01047799,-0.00959602,-0.32700154,0.064982,0.05270207,-0.008312494,-9999.99,-9999.99,-0.1775954,-9999.99,-9999.99,0.015357457,0.024589565,0.022989955,0.017962761,0.05261202,0.013292742,0.021619253,0.012565131,0.07790907,0.040354785,0.040561322,0.0166951,0.023028223,0.07135439,0.06369506,0.043539803,0.020077186,0.009335169,0.050322324,0.016504053,0.04531702,-999.99,-999.99,0.07352081,-999.99,-999.99,,,,,,,,,,,,,,,,,,,2758.10205,2664.91895,2839.51465,2773.54248,2678.9187,2859.21533,0.049999997,0.9803710555417099,0.014617646222505387,0.9587377331818354,0.01372551280070583,10.751984193023386,0.5834205128823934,1.2979612599952353,0.21036951743061283,10.282703105127393,0.5579565419472482,1.187132210530303,0.19240669036340366
1348,9540226,,1,,,rgb,binary,297.034,46.19847,3.216,27.07,3.216,0.010906777952967425,27.07,1.3535000000000001,,,4612.0,28.0,4680.0,80.0,-0.33,0.04,2.2,0.2,4612.0,28.0,82.0974071282187,5.27755592824549,82.2524264299491,5.13373943077564,1.33,0.05,12.8,0.1,4680.0,80.0,-0.33,0.04,2.2,0.2,"G16, B18, T18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4729.896,19.878439,-0.25171688,0.019705476,0.05736978,0.01121534,4760.0,167.0,9.88,0.02,9.278,0.018,9.156,0.015,9.875,0.013,9.28,0.01,9.158,0.004,2.08026373332841e+18,297.033966843132,0.009847801,46.1984457419562,0.011346653,0.534443237407585,0.011395085,-6.47554734644682,0.013733699,-9.97042367490892,0.014368873,31.0,1.4380844,,1.0564134,6289.113,11.653648,2119.0083,12.277168,3063.7437,10.898074,79.9308217603742,10.2681296447959,318.476281312992,65.1523521189288,297.033988,46.198471,4677.6665,82.80881,2.409943,0.062349517,-9999.99,-0.20840155,0.006835923,0.038636997,0.0071934485,-0.009626001,-0.037718013,0.23173,0.07053201,0.0037560463,0.0314257,0.0254125,0.049211994,0.0065269917,0.09215401,0.07831,0.0438423,0.03847161,0.038334996,-0.13100697,-0.01674202,-0.029596016,-0.22315155,0.0109319985,0.007982105,0.0981475,-9999.99,-9999.99,0.3115746,-9999.99,-9999.99,0.01095515,0.018506464,0.017245287,0.012866363,0.040857088,0.0107976515,0.017368348,0.010086117,0.05884526,0.03134999,0.031398274,0.012189989,0.016859557,0.057179075,0.04681296,0.032746416,0.014924964,0.0076894457,0.03652221,0.012646272,0.033913184,-999.99,-999.99,0.05935681,-999.99,-999.99,27.39,1.54,3.192,0.026,115.3,14.2,6.6,6159.4,1920.3,1.5,0.27,13.66,0.83,1.68,0.3,14.43,0.88,0.0,1772.66016,1737.48633,1813.27112,1762.31323,1736.62024,1788.38049,0.13,0.9814742396983543,0.006501204004942973,0.9567305276806819,0.0050784100521640285,13.404108905309855,0.6859785065214266,1.4166984363236064,0.21644207667633525,12.736772762333917,0.6518264227133742,1.279146598548942,0.1954270147158983
1349,9970396,,1,,,rgb,binary,298.7098,46.83303,6.32,63.7,6.32,0.021433717867771804,63.7,3.1850000000000005,,,4864.0,44.0,4860.0,80.0,-0.23,0.03,3.1,0.2,4864.0,44.0,31.667835675802,1.91483919729833,30.5280213311192,1.84591875678622,1.14,0.03,8.0,0.2,4860.0,80.0,-0.23,0.03,3.1,0.2,"G16, B18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4887.911,20.295792,-0.265222,0.019843973,0.08049691,0.010860565,4789.0,96.0,9.742,0.027,9.182,0.031,9.081,0.021,9.731,0.013,9.189,0.029,9.074,0.015,2.08555791617582e+18,298.709827528333,0.016328633,46.8329939576763,0.022405487,0.991039136647983,0.019240364,2.09713193009577,0.023469798,-8.25998231178752,0.029807629,31.0,1.4523059,,1.4101983,5830.3433,11.436082,2031.5085,12.017369,4347.6167,10.709279,81.0646756233315,9.57165142340315,321.609395203769,65.2102687035133,298.709806,46.833035,4803.0063,86.42036,2.7396145,0.064520225,-9999.99,-0.21465155,0.0070486856,0.024841,0.007460806,0.017760992,-0.04535699,0.18334,0.054082006,0.00016605854,0.040864706,-0.0022825003,0.02727899,0.031206995,-0.015515,-0.01549001,0.030929297,-0.0052224994,-0.178065,0.436863,-0.049301982,-0.0031560063,-0.22053155,-0.021228,0.008402109,-0.034222484,-9999.99,-9999.99,-0.08507541,-9999.99,-9999.99,0.012334075,0.019869374,0.019046832,0.014698662,0.04298027,0.011046981,0.017776182,0.010466411,0.06396581,0.032000463,0.031956296,0.012868915,0.018299637,0.059269737,0.05066609,0.034313317,0.015628502,0.007876091,0.03986012,0.013096964,0.0359763,-999.99,-999.99,0.06387859,-999.99,-999.99,,,,,,,,,,,,,,,,,,,977.21521,956.965759,992.817871,979.437073,963.29126,993.985168,0.17639062,0.9813609705791064,0.006870554598989109,0.9627274518360596,0.005603782497825283,8.321124287144068,0.4254159656696435,1.3092178606712195,0.19981637039791064,8.008130776199629,0.4094142293522954,1.2125794875107283,0.1850671605481548
1350,10001167,,1,,,rgb,binary,286.95575,46.93662,2.762,19.9,2.762,0.009367077333985082,19.9,0.995,,,4638.0,43.0,4700.0,66.0,-0.69,0.04,2.6,0.2,4638.0,43.0,74.0451738449812,3.8943826458952,71.6778106133123,3.76987192079052,0.81,0.05,12.7,0.3,4700.0,66.0,-0.69,0.04,2.6,0.2,G16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4736.823,152.72368,-0.6178832,0.17190579,0.20699379,0.07996062,4538.0,91.0,8.395,0.023,7.849,0.036,7.747,0.023,8.431,0.016,-999999490.0,-999999490.0,7.732,0.007,2.13063848132686e+18,286.955683905054,0.01726783,46.9366401853793,0.016198337,1.13524762514471,0.018090611,-5.96426772302442,0.025729442,2.4570925589991,0.022262445,31.0,1.4643587,,1.3491277,5424.904,10.046246,1451.7206,10.595421,2699.3372,9.344327,77.5679677240946,16.8419846461297,302.831385681448,68.4519492779755,286.955745,46.936623,4558.0254,83.54863,2.1776721,0.06836335,-9999.99,-0.66469157,0.008519834,0.216129,0.009306298,0.10892695,0.24052995,0.034244955,0.25579497,0.09810603,0.25998163,0.25519848,0.22214195,0.49859697,0.31187397,0.26542002,0.18003827,0.09445256,0.48506498,0.050472975,-0.047381997,-0.149656,-0.6821315,0.12514198,0.086012065,0.17421746,-9999.99,-9999.99,-0.13879538,-9999.99,-9999.99,0.015062672,0.024707934,0.023281287,0.015490229,0.05514563,0.013609541,0.018774007,0.012281959,0.07168093,0.044743508,0.042559143,0.018665295,0.022672918,0.06236337,0.058591127,0.045107253,0.022329848,0.009603264,0.04738601,0.017737623,0.046869926,-999.99,-999.99,0.06202316,-999.99,-999.99,19.93,0.44,2.782,0.039,219.0,13.5,1.8,13780.3,5871.7,0.87,0.08,12.35,0.48,0.98,0.1,13.12,0.51,1.0,866.493347,853.494568,880.203735,862.339539,850.968567,873.45636,0.03427132,0.9851271407479912,0.013884967984356178,0.9538569687925466,0.01392518022685657,13.48777337678713,0.6871229623064375,1.056751475107553,0.160708628402283,12.645098180006864,0.6441936024114729,0.9288311109070654,0.1412547579704593
