KIC,inv_r_gaia_K_MIST,inv_r_gaia_K_MIST_err,teff,teff_err,feh,feh_err,flags,Dnu,e_Dnu,numax,e_numax,Phase,fDnu_S16,Rseis_S16,e_Rseis_S16,fDnu_o,e_fDnu_o,fDnu,e_fDnu,Rseis_m,e_Rseis_m,Rseis_o,e_Rseis_o,Rseis,e_Rseis
1027337,0.1234244213319303,0.0033029172794449,4635.5390625,30.0,0.231188446283,0.00545219937339,nan,6.937,0.014,74.21,0.68,1.0,0.9784269301630314,7.8113661494222075,0.08219649242465214,,,,,,,,,,
1163359,0.0665773244192881,0.0028482686092403,4578.98388672,30.0,-0.413421541452,0.0090035796165499,nan,2.642,0.015,21.43,0.41,1.0,0.9695271540548365,15.176166798589442,0.34127940984620625,0.9827926658121767,0.002105840198889153,0.9516713466201769,0.0013020712913679455,14.313921975694667,0.24587642983984637,15.594302364107598,0.3506823810265842,14.622314618348657,0.3288244633684054
1294122,0.1293389049791724,0.0029245348284222,4805.95849609,30.0,-0.0541975498199,0.00651654740795,nan,7.022,0.016,75.62,0.84,1.0,0.9806920737718433,7.946417813793314,0.09858047341422399,0.9816302784598736,0.0011256136597053157,0.964478550465726,0.0007415248234039495,7.635881205555334,0.032248107513880075,7.961629382910585,0.09876918280757489,7.6858377608154305,0.0953478086353504
1296068,0.1281738873178044,0.0038069822406103,4586.54541016,30.0,-0.0101695498452,0.00843470450491,nan,6.14,0.013,59.56,0.49,1.0,0.970041411572903,7.8242439066362195,0.07678548399751424,0.9731008302579255,2.7106250577446644e-09,0.9529148500045972,4.8843299960132924e-09,7.462055407140944,0.021468304031853513,7.873675582931676,0.07727059607153021,7.550401049864575,0.07409804779954011
1296507,0.1642567010873124,0.0051489297588222,4913.78662109,30.0,-0.0188445504755,0.010183500126,nan,10.333,0.019,126.62,2.42,1.0,0.9882857845790967,6.309918198726014,0.12431068206269427,0.986323240782902,1.1526313237197883e-08,0.972119475885656,1.5786365881176323e-08,6.0364799026180265,4.385143821394877e-07,6.284882535148657,0.12381745848717758,6.105172230504433,0.12027701472222854
1429505,0.1209566671526637,0.0028124815479225,4682.16992188,30.0,-0.102841548622,0.0072555388324,nan,5.755,0.01,55.78,0.5,1.0,0.9726351098382264,8.472515251036235,0.08585717617389921,0.9759164793572359,3.010081428556077e-08,0.9564605193154789,2.127264142615104e-09,8.328794903449646,1.896825680880454e-05,8.529778966395456,0.08643746440617679,8.193068203112164,0.08302536841504524
1433593,0.1123745609177756,0.0026673653078904,4799.42285156,30.0,0.109028451145,0.00599976768717,nan,6.241,0.013,69.14,0.59,1.0,0.9843306485555545,9.25973520897479,0.09257078029663314,0.9821366181087471,0.0040066104723005536,0.9679683992763921,0.0028588611794308494,8.872903135413383,0.1573905995306788,9.218502114977715,0.09215856767940256,8.954449904108728,0.08951880329656126
1433730,0.0836311281119019,0.001882025581064,4732.07910156,30.0,-0.0793645456433,0.00647456664592,nan,4.085,0.019,40.37,0.54,1.0,0.9780646056281739,12.371909830607525,0.20535351276864605,0.9803591953481335,0.0038238885866255234,0.9615667969820898,0.003678187803755728,11.913435843691094,0.4164680005191137,12.430028194850754,0.20631818276843772,11.958055857289617,0.19848421220327644
1433803,0.1924742373511936,0.0035977765593207,4735.84570312,30.0,0.23572845757,0.00554018234834,nan,12.178,0.015,150.14,1.04,1.0,0.9856505960166266,5.260054656141104,0.04210742924635576,0.9884457510231905,0.0016171349570339166,0.9753915834838769,0.0010432668295377034,5.25529001052712,0.06093542801531715,5.2899303857970565,0.04234658839106208,5.151127347228204,0.04123545181401273
1569842,0.2008704360795804,0.0038654036770403,4820.04882812,30.0,-0.276271551847,0.00730315828696,nan,11.768,0.018,135.02,0.65,1.0,0.9773772421382003,5.025091600937331,0.03265091205352249,0.9873441222666859,0.0011566322172772425,0.9677427216970029,0.0005473991087706631,4.941635823901245,0.0541309375632717,5.1281016847853165,0.03332022785021746,4.9265099625415205,0.032010370415484816
1572175,0.0989841326489324,0.0025186351941654,4737.46386719,30.0,-0.0481845475733,0.0063824667595299,nan,5.369,0.012,56.04,0.67,1.0,0.9776348442335446,9.938907595563071,0.13070583837828237,0.9772305521023836,0.0006673415585169984,0.9607483114857508,0.0006270832087370559,9.319033053658378,0.16210458083863788,9.930689002891102,0.13059775627417278,9.598526507202026,0.12622951187111134
1572780,0.0745855293288188,0.0016320780109149,4807.59277344,30.0,-0.5659215450289999,0.00839815568179,nan,2.638,0.087,18.15,0.54,0.0,0.9669520146811794,13.140193598415383,0.9516909673479527,0.9611483888903074,0.004158267912604319,0.9352213154531204,0.004700741418717125,12.53971599693564,0.7659733540987945,12.982932622592648,0.9403011922212855,12.291947932398802,0.8902559715547872
1719422,0.1690036524934253,0.0053293626376362,4939.29638672,30.0,-0.2847515344619999,0.00855900533497,nan,11.316,0.017,136.07,0.8,1.0,0.9843860229276087,5.623943680382776,0.04087204877581025,0.9913144986873847,1.2687825179380496e-08,0.9732898720112789,2.3367541068797237e-08,5.470666013425651,1.4670128392957338e-05,5.703389107091862,0.041449418952328065,5.497870347553118,0.039955809975852706
1723752,0.2102009108797974,0.0043682209384718,5010.73388672,30.0,-0.154911547899,0.0080794589594,nan,15.042,0.075,197.28,0.86,1.0,0.9935418459373939,4.734737667713442,0.053443256220989103,0.9901524032673019,0.0010610932333735557,0.9759816539291231,0.0005293110124306444,4.62146506949876,0.05222955040109056,4.7024878977236275,0.05307923759068853,4.568850030247626,0.05157080284866497
1726291,0.2132159729933999,0.0057264546314991,4804.58935547,30.0,-0.386071562767,0.0086361477151499,nan,12.864,0.024,149.79,0.88,1.0,0.9722220456954239,4.60883180941451,0.03515552454395168,0.9933910983303514,1.0777128967021099e-08,0.9701976000282367,4.1738772216248776e-08,4.603599707879002,4.726736418714239e-06,4.811721229380839,0.0367031366674326,4.589657968592868,0.03500926916743086
1864183,0.1169017489767772,0.0025763857127867,4608.89453125,30.0,0.151468455791,0.00565776135772,nan,5.505,0.015,54.12,0.48,1.0,0.9751036717626258,8.958682488456159,0.0977082476268173,0.9722528957803858,0.0013272562551382427,0.956318461455023,0.0018827195159931143,8.466288166586997,0.25946285847023987,8.906376533926144,0.09713777053220421,8.61683229770548,0.0939798441330913
1864855,0.1668956971655587,0.0035724625461403,4923.73876953,30.0,-0.0531605482101,0.00679374393076,nan,10.444,0.011,124.78,1.45,1.0,0.9889995246699701,6.101715541240017,0.07441919110356558,0.986023356807051,0.0017849024243175027,0.970951439627777,0.0012807436885523549,5.7896017275362395,0.07685335547649519,6.065047361986717,0.0739719699539024,5.881049183812762,0.07172784770800486
1865262,0.1144218044604536,0.003077082226197,4786.10888672,30.0,-0.311481535435,0.0123144285753,nan,5.571,0.012,53.41,0.44,1.0,0.9721955484234671,8.744919975772062,0.08579328255991032,0.9754669159968051,0.0022144744921984705,0.9550709696422495,0.0011965374601125567,8.338420800673656,0.06311417502347538,8.803871036294424,0.08637163033285893,8.43956130412122,0.08279751783345878
1865747,0.119984081520752,0.0023630469602087,4748.56542969,30.0,0.0188144501299,0.0061892764642799,nan,6.11,0.014,63.63,0.49,1.0,0.9795088271018528,8.757465982928519,0.08321015835325367,0.9817331085285559,1.2956209827219567e-08,0.9640415775127763,1.1476665340293124e-08,8.508431137804026,2.053756985720412e-05,8.79728427767625,0.08358849686096514,8.483074483646234,0.0806029932040457
1867706,0.138130473090431,0.0031298773778657,4840.41210938,30.0,0.136468455195,0.00599690200761,nan,8.758,0.016,105.14,0.68,1.0,0.9868535806593178,7.217814853859458,0.05809463799563381,0.985705558365003,0.0014104024148439698,0.9719821989833212,0.0007563906179095525,6.943797786163006,0.050739902324773656,7.201031426631406,0.05795955180280657,7.001916344743187,0.056356917371752725
1870196,0.2177362445831825,0.0051638667102431,4866.8671875,30.0,-0.000614149961621,0.0074386042542799,nan,14.737,0.052,191.7,1.08,1.0,0.9883289698466371,4.6744743309369765,0.044601700977191766,0.9926284339586829,2.3251464809082023e-08,0.9769953297325846,8.13248773878783e-09,4.49592901485363,3.3569209993977722e-06,4.715232924858327,0.04499060088114449,4.567880181125244,0.043584628241471364
1871927,0.1261664014015356,0.0036825512932297,4654.94873047,30.0,0.1720784455539999,0.00705893430859,nan,6.418,0.013,65.85,0.59,1.0,0.9783189431954661,8.112893321194157,0.08394881656692409,0.9730726138802092,0.000576287746581583,0.9582998707696089,0.0004578541348878584,7.680434130320495,0.03737951729942868,8.026114287606458,0.08305086353289647,7.784266552088904,0.08054832462571648
1872517,0.0851304194312898,0.003411072705489,4545.22998047,30.0,-0.351341545582,0.00979031808674,nan,3.279,0.014,25.56,0.41,1.0,0.9627501010703241,11.544739242525585,0.2132224613223289,0.9780079697103286,0.0019114368595234965,0.9469549966284834,0.0007666361088831675,11.134822440933638,0.15680040119493377,11.91356585925088,0.2200344054786484,11.169035266096985,0.20628349761775175
1996078,0.1467648905417522,0.0056491426311534,4770.66357422,30.0,-0.1176615506409999,0.00742220692337,nan,7.758,0.016,82.66,0.81,1.0,0.9772470759062828,7.040362810253668,0.0780571915926546,0.9837451420501084,0.002121868153753259,0.9630831595197112,0.0014389565104689916,6.766597390451887,0.0871768347080426,7.134301885122973,0.07909870331054943,6.837760083327512,0.0758109153283353
2011891,0.1675345074613885,0.0034436922572406,4679.56787109,30.0,0.272308439016,0.00537733919919,nan,9.698,0.016,113.24,0.65,1.0,0.9824257659820401,6.177871910044845,0.04544423164732018,0.9846043148631543,3.193965092407325e-10,0.9702796837203965,4.207837578373841e-09,5.97363665441693,2.5949834605576427e-06,6.2053013993336785,0.04564600210863108,6.026057719713509,0.04432749123359452
2018283,0.1751213241057191,0.004390272622092,4788.48291016,30.0,0.182988449931,0.00773009844124,nan,11.175,0.013,135.86,1.35,1.0,0.9872940123173177,5.702818616545547,0.060879778938424875,0.9867561841268965,0.001670639640197591,0.9728996637308541,0.0012855367351902736,5.563770282532453,0.06325894593058345,5.696607090561205,0.060813468512962654,5.537741242454318,0.05911751457089756
2018537,0.197674552146287,0.0044069464272979,4834.88964844,30.0,0.232568457723,0.00580204278231,nan,13.828,0.018,182.49,1.21,1.0,0.99031595799075,5.0578064051309015,0.03929706848647027,0.9904347159306922,2.7000103652863316e-08,0.9780174012492151,2.8648620309379424e-08,4.946370528400777,6.010894963104363e-06,5.059019534495281,0.03930649400099107,4.9329624699561245,0.038327082631395476
2140446,0.1157050330086206,0.0027777000063831,4561.98388672,30.0,0.253258436918,0.00535654835403,nan,5.673,0.012,57.6,0.56,1.0,0.9751337120818896,8.933119973219839,0.09916588853725644,0.973896542980114,0.0002241736479423051,0.9584357309909767,0.0002389472332348097,8.4505134531293,0.04475924302695855,8.910467142979819,0.09891442118370365,8.62980170783326,0.09579877543603187
2141255,0.1971608126126823,0.0049941059469217,4946.96728516,30.0,-0.216071546078,0.00821138080209,nan,12.371,0.022,147.82,0.88,1.0,0.9880529119818451,5.154120205686233,0.03900977106042257,0.9876765885256131,0.0015811271417095485,0.9700019080754622,0.0004825531118692883,4.854206101881273,0.04891139171366321,5.150194814785379,0.038980061120752155,4.967516465173591,0.037597431241807984
2160901,0.1074148778182407,0.0026171459977579,4658.61376953,30.0,0.187658458948,0.00562389474362,nan,5.673,0.013,58.84,0.88,1.0,0.9786588145962369,9.288361483873139,0.1483373809710691,0.978797501168906,0.0008662076251911288,0.9635805944102985,0.0009266543510077496,9.123349006785968,0.1286805952690333,9.290994193607318,0.14837942598272194,9.0043542985871,0.14380171748344084
2164262,0.1139713922601815,0.0032972950834221,4661.21337891,30.0,0.0979054495692,0.00716077210382,nan,5.97,0.013,61.05,0.52,1.0,0.976846257933015,8.672413311144915,0.08753230034150025,0.9737238687426057,0.0008423364811296907,0.957664751042655,0.0011853066903245724,8.13779453588408,0.08462319205425395,8.617060951875473,0.08697361855796983,8.33517146292516,0.08412845487346211
2165198,0.133747730280316,0.0030373108123377,4812.48876953,30.0,0.121798448265,0.00691854441538,nan,7.742,0.014,88.75,1.06,1.0,0.9851810834419731,7.747829513694532,0.09965712589446807,0.9834567028577561,0.003434168606948229,0.9687819662246328,0.002884022004590092,7.472326091596694,0.21722671139581973,7.720730912838988,0.09930856780187561,7.492038817468209,0.0963669959850007
2166223,0.1187209547091617,0.0043536640752617,4791.140625,30.0,0.0732564553618,0.00871252361685,nan,6.491,0.017,66.37,0.67,1.0,0.9841976058174309,8.207931090972755,0.09682092544255613,0.9765769471035761,0.003918035880193127,0.9620284353036148,0.003400732363442238,7.903413361710671,0.1826032269704676,8.081314893205196,0.09532735814672984,7.8423263521286355,0.0925082443577937
2167774,0.11487682931958,0.0023029370380302,4722.07910156,30.0,0.0222204495221,0.00614210683852,nan,5.794,0.009,59.7,0.56,1.0,0.978160003216156,9.086671220390812,0.09431366178164119,0.9779107233291686,0.002319781498816842,0.9617429835140685,0.0012518356246934426,8.85369533975034,0.05493230742300881,9.082040412059165,0.0942655970415209,8.78421721220417,0.09117438840630389
2283721,0.1493710216692706,0.0050261772598067,4745.83789062,30.0,-0.231671541929,0.00777359353378,nan,7.787,0.011,79.73,0.61,1.0,0.9726211454419585,6.659265245414748,0.05824735058287826,0.9791679963355583,0.0002836552897857447,0.9600020616798033,0.0005304994423799281,6.564708970144739,0.013877091570184685,6.7492158831369,0.05903413202759745,6.487587535018354,0.056745717682520375
2285827,0.202477128688961,0.0048554622854866,4759.95019531,30.0,0.228058457375,0.0057293851859899,nan,13.21,0.018,167.32,1.04,1.0,0.9870531874766243,5.008706347572295,0.03747888988741775,0.9904128104452966,2.5506998235780287e-08,0.9765476021619093,4.304220424522498e-09,4.879164094230124,1.8625679651940175e-05,5.042860540413148,0.03773445712251757,4.902654579867806,0.03668533118216663
2300329,0.0586814009157963,0.0034466360670573,4364.08447266,30.0,0.0590914525092,0.0115089574829,nan,2.191,0.037,15.6,0.42,1.0,0.964890362217917,15.5325724934354,0.6730077566423233,0.9705305322300862,0.005207797272497872,0.9424257332428944,0.005089232563179835,15.307574869991571,0.6859469797918072,15.714691416170322,0.6808987513686474,14.81773162103141,0.6420345580883697
2305407,0.183053056470452,0.0040637420952884,5024.15332031,30.0,-0.121451549232,0.0124670341611,nan,13.082,0.024,170.48,3.35,1.0,0.992933639766248,5.41001006387411,0.1093457407193387,0.9912246136253137,0.002249682169612577,0.9769422945329773,0.001595867350684066,5.233190503455947,0.17854111207449597,5.391402794814195,0.10896965535275004,5.237155242442039,0.10585204324683088
2305479,0.1335762191267112,0.0033232126552562,4638.23193359,30.0,0.2384984493259999,0.00720227276906,nan,7.422,0.009,79.1,0.61,1.0,0.9790030967880329,7.284168445925797,0.06342315082644638,0.9774285175270387,0.0009332787062611425,0.9631580365227573,0.0013319700557141156,7.115483604526899,0.19405142566603706,7.2607563093908105,0.06321930168736471,7.050289567120518,0.06138677076251691
