index, star_mass, Xinit, Yinit, Zinit, amlt, fov_shell, fov0_shell, fov_core, fov0_core
0, 0.77866, 0.71404664, 0.28101379, 0.00493956, 1.539984, 0.006041, 0.003020, 0.000000, 0.000000
1, 1.57866, 0.74019193, 0.23101379, 0.02879428, 2.239984, 0.006041, 0.003020, 0.009256, 0.004628
2, 1.97866, 0.69196762, 0.30601379, 0.00201859, 2.589984, 0.006041, 0.003020, 0.015243, 0.007622
3, 1.17866, 0.73197850, 0.25601379, 0.01200771, 1.889984, 0.006041, 0.003020, 0.000000, 0.000000
4, 1.37866, 0.70332670, 0.29351379, 0.00315950, 2.064984, 0.006041, 0.003020, 0.003859, 0.001929
5, 2.17866, 0.73784697, 0.24351379, 0.01863924, 1.364984, 0.006041, 0.003020, 0.016000, 0.008000
6, 1.77866, 0.67430302, 0.31851379, 0.00718318, 1.714984, 0.006041, 0.003020, 0.013284, 0.006642
7, 0.97866, 0.69014329, 0.26851379, 0.04134292, 2.414984, 0.006041, 0.003020, 0.000000, 0.000000
8, 1.07866, 0.76094739, 0.23726379, 0.00178882, 1.977484, 0.006041, 0.003020, 0.000000, 0.000000
9, 1.87866, 0.70343719, 0.28726379, 0.00929902, 2.677484, 0.006041, 0.003020, 0.014477, 0.007238
10, 2.27866, 0.73364644, 0.26226379, 0.00408977, 2.327484, 0.006041, 0.003020, 0.016167, 0.008084
11, 1.47866, 0.66683225, 0.31226379, 0.02090396, 1.627484, 0.006041, 0.003020, 0.006575, 0.003287
12, 1.27866, 0.76863788, 0.22476379, 0.00659832, 2.502484, 0.006041, 0.003020, 0.001479, 0.000740
13, 2.07866, 0.69183850, 0.27476379, 0.03339770, 1.802484, 0.006041, 0.003020, 0.015716, 0.007858
14, 1.67866, 0.74753013, 0.24976379, 0.00270608, 1.452484, 0.006041, 0.003020, 0.011550, 0.005775
15, 0.87866, 0.68626595, 0.29976379, 0.01397026, 2.152484, 0.006041, 0.003020, 0.000000, 0.000000
16, 0.82866, 0.68186152, 0.31538879, 0.00274969, 2.633734, 0.006041, 0.003020, 0.000000, 0.000000
17, 1.62866, 0.71832178, 0.26538879, 0.01628943, 1.933734, 0.006041, 0.003020, 0.010468, 0.005234
18, 2.02866, 0.70288959, 0.29038879, 0.00672162, 1.583734, 0.006041, 0.003020, 0.015509, 0.007755
19, 1.22866, 0.72084708, 0.24038879, 0.03876413, 2.283734, 0.006041, 0.003020, 0.000489, 0.000245
20, 1.42866, 0.69280891, 0.30288879, 0.00430230, 1.758734, 0.006041, 0.003020, 0.005196, 0.002598
21, 2.22866, 0.72190167, 0.25288879, 0.02520954, 2.458734, 0.006041, 0.003020, 0.016094, 0.008047
22, 1.82866, 0.72022515, 0.27788879, 0.00188606, 2.108734, 0.006041, 0.003020, 0.013942, 0.006971
23, 1.02866, 0.76090605, 0.22788879, 0.01120516, 1.408734, 0.006041, 0.003020, 0.000000, 0.000000
24, 0.92866, 0.74452600, 0.24663879, 0.00883521, 2.196234, 0.006041, 0.003020, 0.000000, 0.000000
25, 1.72866, 0.65936048, 0.29663879, 0.04400072, 1.496234, 0.006041, 0.003020, 0.012490, 0.006245
26, 2.12866, 0.77448551, 0.22163879, 0.00387570, 1.846234, 0.006041, 0.003020, 0.015876, 0.007938
27, 1.32866, 0.70842552, 0.27163879, 0.01993568, 2.546234, 0.006041, 0.003020, 0.002609, 0.001304
28, 1.12866, 0.73846146, 0.25913879, 0.00239974, 1.321234, 0.006041, 0.003020, 0.000000, 0.000000
